Name,Price
Kaju Milkshake,₹400
Kesar Milkshake,₹260
Kesar Badam Dry Fruit Milkshake,₹400
Kesar Dry Fruit Milkshake,₹400
Kesar Pista Milkshake,₹400
Kesar Royal Milkshake,₹400
Lychees Milkshake,₹290
Mango (Pulp),₹260
Mango Badam Milkshake,₹400
Mango Milkshake,₹320
Pineapple Milkshake,₹250
Pista Milkshake,₹400
Rose Milkshake,₹250
Sitaphal Milkshake,₹320
Strawberry Milkshake,₹320
Vanilla Milkshake,₹250
Watermelon Milk Shake,₹230
Dil Khush,₹350
Kesar Falooda,₹260
Kulfi Falooda,₹300
Rabadi With Kulfi,₹370
Rabdi,₹270
Rose Falooda,₹290
Special Falooda,₹300
Apple Dish,₹290
Mango Dish,₹290
Strawberry,₹290
Watermelon,₹240
Fruit Jelly,₹250
Fruit Salad,₹230
Jelly,₹220
Mix Fruits,₹260
Butterscotch Ice Cream,₹140
Choco Chips,₹140
Chocolate,₹140
Cocktail Ice Cream,₹240
Extra Icecream,₹30
Kaju Kismish,₹140
Kesar Pista Ice Cream,₹140
Mango Ice Cream,₹140
Pappilon Special,₹260
Strawberry Ice Cream,₹140
Vanilla Ice Cream,₹130
3 In One Kulfi,₹140
Badam Pista Matka Kulfi,₹120
Badam Pista Roll,₹120
Kesar Pista Matka Kulfi,₹120
Kesar Pista Roll,₹120
Malai Kulfi Roll,₹120
Malai Matka,₹120
Sitaphal Matka,₹120
Sitaphal Roll,₹120
Butter Milk,₹130
Mango Lassi,₹170
Salt Lassi,₹160
Special Lassi,₹170
Sweet Lassi,₹160
Choice Of ( 500 Ml) Cold Drink,₹70
Cold Drink (300 Ml),₹40
Cold Drinks (1.25 Ltr),₹120
Diet Coke,₹60
Frooti,₹35
Packaged Drinking Water (big),₹30
Packaged Drinking Water (smal),₹10
Red Bull Energy Drink,₹180
Soda,₹30
Bournvita,₹80
Coffee,₹80
Filter Coffee,₹80
Nescafe,₹80
Special Tea,₹60
Tea,₹60
Bhel Puri,₹140
Bhel Special,₹160
Dahi Batata Puri,₹170
Dahi Bhel,₹170
Dahi Sev Puri,₹170
Delhi Papdi Chat,₹170
Misal Pav,₹170
Pani Puri,₹110
Samosa Bhel,₹160
Sev Puri,₹150
